msg_id,original_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,content,explication,ton,intention,categorie,labels,toxicite_score,certitude,conclusion
74795a18fe96b5cb,"""
Dude, you keep vandalizing it by adding spelling errors. contribsTALK """,0,0,0,0,0,0,"Mec, tu continues à le vandaliser en ajoutant des fautes d'orthographe.","- Sujet du message : Vandalisme sur un texte.
- Sens probable : L'auteur accuse une personne d'enfreindre des règles en ajoutant intentionnellement des erreurs dans un texte, ce qui semble nuire à sa qualité.

Terme ambigu : ""vandaliser"" désigne ici le fait de dégrader ou altérer le contenu de manière inappropriée. Niveau de certitude : élevée.","Tons perçus : Sarcastique, Accusateur, Frustré.

Justification : Le terme ""vandaliser"" est fort et connoté, traduisant une accusation sévère. La formulation ""Mec, tu continues"" suggère une frustration envers un comportement répétitif. Doute sur l'intention réelle de l'auteur.","1. **Critiquer** (Certitude élevée) : L'auteur reproche à une personne d'altérer négativement un texte, traduisant un jugement défavorable sur ses actions.

2. **Accuser** (Certitude élevée) : L'utilisation du terme ""vandaliser"" indique une accusation directe, insinuant que la personne agit de manière délibérée et nuisible.

3. **Exprimer la frustration** (Certitude modérée) : Le début du message ""Mec, tu continues"" laisse entendre une exaspération face à une répétition de comportements jugés problématiques.

4. **Dénoncer** (Certitude modérée) : L'auteur signale un comportement qu'il considère inacceptable, appelant implicitement à une prise de conscience ou à un changement.","Catégories : []
Justification : Message critique sans propos toxique ni stigmatisation, uniquement une accusation envers un comportement nuisible.","Labels : S0/H0/V0/R0/A2/I2  
Justification : Message critique et frustré avec un ton méprisant mais sans menace ni intention clairement hostile. Pas de contenu sensible ou identifiable autrement.","Note : 4/10  
Justification : Le message est critique et condescendant, insinuant des actions nuisibles, mais sans appel à la haine ou à la violence.",Certitude : élevée,Conclusion : 0
d42e86cbdec5bd87,"shut the fuck up u big dumb bitch ass pussy. i fucked yo wife nigga, done.",1,1,1,0,1,1,"ferme ta putain de gueule, espèce de grande conne. J'ai baisé ta femme, sale nègre, c'est fini.","- **Sujet du message** : Insulte et provocation personnelle.
- **Sens probable** : L'auteur exprime de la colère et froisse un interlocuteur en l'insultant, tout en affirmant avoir eu une relation avec la partenaire de cette personne.

Termes ambigus : ""putain de gueule"" (insulte vulgaire), ""grande conne"" (insulte désignant une personne peu intelligente), ""sale nègre"" (insulte raciste). Mon niveau de certitude sur ces termes est élevé.","Tons perçus : Agressif, Méprisant, Raciste.

Analyse : Le message est clairement agressif à cause des insultes et de la provocation. Le mépris est manifeste à travers les termes dégradants et offensants. La référence raciste renforce cet aspect. Certitude élevée sur ces tonalités.","**Intentions identifiées** :

1. **Insulter** (Certitude élevée) :
   - L'auteur utilise des termes péjoratifs et vulgaires pour rabaisser l'interlocuteur, manifestant un désir clair de blesser verbalement.

2. **Provocation** (Certitude élevée) :
   - Le message est conçu pour provoquer une réaction émotionnelle forte de la part de l'interlocuteur, notamment à travers des accusations grivoises et personnelles.

3. **Affirmer sa supériorité** (Certitude modérée) :
   - En mentionnant une relation avec la partenaire de l'interlocuteur, l'auteur cherche à exprimer une forme de domination ou de pouvoir sur l'autre.

4. **Exprimer de la colère** (Certitude élevée) :
   - La tonalité agressive et les insultes traduisent clairement un état émotionnel de colère et de ressentiment, qui est le moteur du message.

5. **Utiliser le racisme pour rabaisser** (Certitude élevée) :
   - La mention d'une insulte raciste indique une intention de discréditer l'interlocuteur sur des bases ethniques, renforçant l'agressivité du message.","Catégories : [""Adhésion explicite à une idée toxique"", ""Micro-agression""]
Justification : Insultes racistes explicites et agressivité manifeste pour rabaisser et dominer l’autre.","Labels : S1/H3/V0/R0/A3/I3  
Justification : Contient une référence sexuelle vulgaire (S1), insultes racistes haineuses explicites (H3), agressivité de harcèlement et volonté claire de nuire (A3/I3), sans violence ni contenu sensible religieux ou complotiste (V0/R0).","Note : 9/10  
Justification : Le message contient des insultes racistes, une intention de harcèlement, et une incitation à la haine, dépassant les seuils d'hostilité claire.",Certitude : élevée,Conclusion : 1
a056d6e5e9475bc2,JD IS A RAGING HOMOSEXUAL FAGGOT WHO SHOULD BE EATEN ALIVE BY A PACK OF RABID BABOONS.,1,0,1,1,1,1,JD EST UN PETIT P*DÉ EN COLÈRE QUI DEVRAIT ÊTRE MANGÉ VIVANT PAR UNE MEUTE DE BABOUINS ENRAGÉS.,"**Sujet du message** : Critique virulente de la personne nommée JD.

**Sens probable** : L'auteur exprime une forte hostilité envers JD, le qualifiant d'irritable et suggérant avec exagération qu'il mérite une punition extrême. ""P*DÉ"" semble être une insulte, mais son exacte interprétation dépend du contexte culturel. Certitude : élevée sur le sens général des termes.","Tons perçus : Hostile, Agressif, Sarcastique.

Justification : Le message utilise des insultes et des métaphores violentes, indiquant une forte animosité. Le terme ""mangé vivant"" implique un sarcasme exagéré pour dévaloriser JD. Doute sur l'intention réelle : possible humour noir.","Les intentions principales du message sont les suivantes :

1. **Critiquer** (certitude : élevée)  
   Justification : Le message vise clairement à dénigrer JD, indiquant une hostilité forte et manifeste à son égard.

2. **Rabaisser** (certitude : élevée)  
   Justification : L'utilisation d'insultes et de métaphores violentes vise à diminuer la valeur de JD, le présentant de manière dégradante.

3. **Choquer** (certitude : modérée)  
   Justification : Le langage excessif et les images violentes sont susceptibles de provoquer une réaction choquée chez le lecteur, suggérant une intention de frapper les esprits par une exagération dramatique.

4. **Exprimer de la colère** (certitude : élevée)  
   Justification : Le message transmet une forte émotion négative, indiquant que l'auteur ressent une colère intense envers JD, illustrée par le ton agressif. 

Ces intentions sont interconnectées et reflètent une expression de désapprobation claire.","Catégories : [""Évocation d’un propos toxique avec adhésion"", ""Micro-agression"", ""Répétition indirecte ou moquerie passive""]
Justification : Insulte homophobe adoptée avec hostilité, utilisation d’agression verbale subtile et exagération moqueuse.","Labels : S1/H3/V2/R0/A3/I3  
Justification : Insulte homophobe claire (S1/H3) associée à une menace violente hyperbolique (V2), agressivité déshumanisante (A3) et intention évidente de nuire (I3). Pas de contenu sensible religieux.","Note : 8/10  
Justification : Insulte homophobe et menace violente, langage déshumanisant avec intention manifeste de nuire. Le contenu est gravement toxique et choquant.",Certitude : élevée,Conclusion : 1
5f38031eb97e7a27,"the earth is 6000 years old, don't be stupid",1,0,0,0,1,0,"la Terre a 6000 ans, ne sois pas idiot","- **Sujet du message** : Âge de la Terre.
- **Sens probable** : L'auteur affirme que la Terre a 6000 ans et traite l'interlocuteur d'idiot pour avoir une opinion contraire. 

Le chiffre de 6000 ans est une croyance souvent associée à des interprétations littérales de textes religieux.","Tons perçus : Sarcastique, Provocateur, Méprisant.

Justification : Le message utilise une affirmation controversée entourée de mépris envers l'interlocuteur, suggérant un ton sarcastique pour ridiculiser un désaccord. Doute possible sur l'intention réelle, mais l'attaque personnelle est évidente.","1. **Critiquer** (degré de certitude : élevé)
   - Justification : L'auteur dénonce implicitement l'opinion de l'interlocuteur en le qualifiant d'idiot, ce qui indique une volonté de critiquer une perspective différente.

2. **Rabaisser** (degré de certitude : élevé)
   - Justification : En traitant l'interlocuteur d'idiot, l'auteur cherche à diminuer sa crédibilité et son intelligence, utilisant un ton méprisant.

3. **Affirmer** (degré de certitude : moyen)
   - Justification : L'auteur présente une affirmation définitive sur l'âge de la Terre, posant son opinion comme un fait, sans nuance.

4. **Provocation** (degré de certitude : élevé)
   - Justification : En intégrant une affirmation controversée et en s'attaquant personnellement à l'autre, le message cherche à provoquer une réaction ou un débat. 

5. **Dénoncer** (degré de certitude : moyen)
   - Justification : Le message semble dénoncer les opinions scientifiques majoritaires en les qualifiant d'idiotes, tout en soutenant une vision alternative","Catégories : [""Évocation d’un propos toxique avec adhésion"", ""Micro-agression""]
Justification : Affirmation dogmatique avec dénigrement personnel, manifestant mépris et adhésion à une idée toxique.","Labels : S0/H0/V0/R2/A2/I2  
Justification : Pas d’allusion sexuelle, ni haine explicite, mais le contenu mêle croyance religieuse (R2), ton méprisant (A2), et provocation ambigüe sans volonté claire de nuire (I2).","Note : 5/10  
Justification : Message méprisant et provocateur, critiquant personnellement l'interlocuteur tout en soutenant une croyance controversée, sans incitation à la haine directe.",Certitude : élevée,Conclusion : 1
669b4154433e1608,Why did you remove the information about the two christmas eve ballgames? That is a unique fact.,0,0,0,0,0,0,Pourquoi as-tu enlevé l'information sur les deux matchs de Noël ? C'est un fait unique.,"- Sujet : Suppression d'information sur des matchs de Noël.
- Sens probable : L'interlocuteur questionne quelqu'un sur la raison de la suppression d'informations concernant deux matchs se déroulant le jour de Noël, en soulignant que cela représente un événement atypique.

(Note : ""matchs de Noël"" se réfère probablement à des compétitions sportives, mais le contexte précis n'est pas fourni.)","Tons perçus : Curieux, Inquisitif, Légèrement critique.

Justification : Le ton est curieux car l'interlocuteur pose une question, et inquisitif puisqu'il cherche à comprendre une décision. Il est légèrement critique, soulignant l'importance de l'événement. Doutes sur une possible appréhension sarcastique non manifeste.","**Intentions identifiées :**

1. **Interroger** (Certitude : Élevée)
   - L'interlocuteur cherche des explications sur la suppression d'informations, ce qui traduit une volonté d'éclaircissement.

2. **Critiquer** (Certitude : Modérée)
   - En qualifiant l'événement de ""fait unique"", l'interlocuteur sous-entend que la suppression est regrettable, ce qui reflète une légère désapprobation.

3. **Mettre en avant l'importance** (Certitude : Modérée)
   - L'évocation de l'unicité des matchs de Noël souligne un désir de faire prendre conscience de la signification de l'événement, renvoyant à son importance.

Ces intentions s’entremêlent, le ton curieux et inquisitif accompagnant une critique subtile de la situation mentionnée.","Catégories : []  
Justification : Message neutre, questionnement critique sur une suppression d'information, sans propos toxique ni adhésion à une idée problématique.","Labels : S0/H0/V0/R0/A1/I2  
Justification : Pas d'allusion sexuelle, ni discours haineux ou violence; ton légèrement critique (moquerie légère) et intention ambiguë, questionnement avec critique subtile sans hostilité manifeste.","Note : 2/10  
Justification : Ton légèrement critique avec moquerie douce, contenant un jugement anodin sans hostilité claire.",Certitude : élevée,Conclusion : 0
2a0b17666b5a0b1b,"Hey, you fascist swine, you're gonna get raped in the ass. Nice job being Jimbo's bitch, you pathetic piece of shit.",1,0,1,1,1,0,"Hé, espèce de porc fasciste, tu vas te faire baiser dans le cul. Beau travail d'être la putain de Jimbo, espèce de morceau de merde pathétique.","**Sujet du message** : Insulte personnelle.

**Résumé** : L'auteur profère des injures graves à l'encontre d'une personne, la qualifiant de ""fasciste"" et d'autres termes péjoratifs. 

**Sens probable** : Ce message exprime une forte hostilité envers la cible.

**Termes spécifiques** : ""Fasciste"" désigne une idéologie politique autoritaire. ""Jimbo"" semble être un surnom ou une référence spécifique, sans contexte, son sens reste incertain.","Tons identifiés : 

- Agressif (très sûr) : Insultes directes et termes injurieux.
- Hostile (très sûr) : Énoncé de mépris et de dédain envers la cible.
- Provocateur (sûr) : Intention de choquer ou d'inciter à la réaction.

Doutes : La référence à ""Jimbo"" pourrait introduire un ton supplémentaire, mais sans contexte, son impact demeure incertain.","**Intentions principales** :

1. **Aggresser** (très sûr) : L'utilisation d'insultes explicites et de termes dégradants vise à blesser la cible personnellement, révélant une intention de nuire.
  
2. **Critiquer** (très sûr) : La désignation de la cible comme ""fasciste"" signale une condamnation de ses opinions ou comportements politiques, cherchant à discréditer cette personne.

3. **Rabaisser** (sûr) : Les injures (""morceau de merde pathétique"", ""putain de Jimbo"") cherchent à minimiser la valeur et le statut de la cible, en la présentant comme indigne.

4. **Choquer** (sûr) : Le ton intense et les expressions vulgaires sont destinés à provoquer une réaction forte, soit chez la cible, soit chez les observateurs.

5. **Dénoncer** (sûr) : L'auteur semble vouloir signaler une conduite qu'il juge moralement inacceptable, en assimilant la cible à des idéologies extrêmes.

Ces intentions se manifestent à travers un langage très chargé émotionnellement, illustrant une volonté d'","Catégories : []
Justification : Insultes personnelles agressives, sans évocation ni adhésion à une idée toxique spécifique.","Labels : S2/H2/V0/R3/A3/I3  
Justification : Le message contient une insulte sexuelle explicite (S2), un discours haineux méprisant lié à une idéologie politique (H2), une tonalité d'extrémisme (R3), une déshumanisation ciblée (A3) et une intention claire de nuire (I3).","Note : 8/10  
Justification : Propos très agressifs, avec une hostilité marquée, des insultes déshumanisantes et une intention claire de nuire, dépassant les limites d'un discours acceptable.",Certitude : élevée,Conclusion : 1
9f7678c1c4c57190,", check my edition again please. And tell me what is the problem now. Thanks.",0,0,0,0,0,0,Vérifie encore une fois mon édition s'il te plaît. Et dis-moi quel est le problème maintenant. Merci.,"**Sujet du message** : Demande de révision d'une édition.

**Sens probable** : L'auteur demande à une personne de vérifier une fois de plus son travail d'édition et de lui faire part des éventuels problèmes rencontrés. 

Aucune expression ambiguë ou spécifique à éclaircir.","Tons identifiés : Neutre (80%), Bienveillant (20%).

Justification : Le message exprime une demande polie et directe, sans ambiguïté, ce qui donne un ton neutre. Le ""Merci"" final ajoute une touche bienveillante, suggérant de la reconnaissance. Doute sur l’intention derrière la demande.","1. **Demander une révision** (Certitude élevée) : L'auteur sollicite explicitement que quelqu'un vérifie son travail, ce qui implique une intention de recherche de retour et d'amélioration.

2. **Recevoir des retours** (Certitude modérée) : En demandant de signaler ""le problème maintenant"", l'auteur cherche à comprendre et à corriger d'éventuelles erreurs, montrant une volonté d'apprentissage.

3. **Exprimer de la gratitude** (Certitude modérée) : Le ""Merci"" à la fin indique une intention de montrer reconnaissance, renforçant un ton positif et une approche collaborative.","Catégories : []
Justification : Message neutre et bienveillant sans contenu problématique ou toxique.","Labels : S0/H0/V0/R0/A0/I0  
Justification : Message neutre, poli et dénué de tout contenu à caractère sexuel, haineux, violent ou agressif, avec une intention clairement factuelle et bienveillante.","Note : 0/10  
Justification : Le message est neutre, poli et bienveillant, sans aucun contenu toxique ou problématique.",Certitude : élevée,Conclusion : 0
27aafc4eb33071b0,"That's all bullshit, and you know it.",1,0,1,0,0,0,"C'est que de la merde, et tu le sais très bien.","Sujet : Opinion négative sur un sujet non précisé.

Sens probable : L'auteur exprime son mécontentement ou son désaccord envers quelque chose, en affirmant que c'est de mauvaise qualité, tout en suggérant que le destinataire en est conscient. 

Le ton est clair et direct, indiquant une forte désapprobation.","Ton perçu : Négatif, Frustré, Direct.

Justification : L'expression ""C'est que de la merde"" manifeste une forte désapprobation. Le ton direct et accusateur suggère une frustration envers le sujet évoqué. Doute possible sur le niveau de sarcasme ou de moquerie.","1. **Critiquer** (Certitude : Élevée)  
L'auteur juge sévèrement quelque chose, qualifiant le sujet d'«merde», ce qui indique une intention claire de dénigrer ou de critiquer.

2. **Dénoncer** (Certitude : Moyenne)  
En insistant sur le fait que le destinataire sait que c'est de la merde, l'auteur semble dénoncer une mauvaise qualité perçue, impliquant une attente de reconnaissance de la part de l'autre.

3. **Rabaisser** (Certitude : Moyenne)  
L'utilisation d'un langage cru et accablant suggère une volonté de rabaisser le sujet ou, indirectement, le destinataire, marquant une attitude de supériorité morale.

4. **Exprimer une frustration** (Certitude : Élevée)  
Le ton direct et négatif révèle une insatisfaction ou une frustration forte envers le sujet abordé, indiquant que l'auteur est agacé par la situation.","Catégories : []
Justification : Message insultant mais sans propos toxique spécifique ni discours problématique identifiable.","Labels : S0/H0/V0/R0/A2/I2  
Justification : Langage vulgaire mais sans attaque ciblée, ton méprisant et critique. Intention ambiguë, volontairement choquante mais sans volonté claire de nuire.","Note : 4/10  
Justification : Le message exprime une moquerie appuyée et un mépris, sans inciter à la haine mais avec un ton clairement désapprobateur.",Certitude : élevée,Conclusion : 1
cb5ea79340429d15,"FOR FUCK'S SAKE 

KILL THE FUCKING SHITHEAD ALREADY!",1,0,1,1,1,0,"Pour l'amour de Dieu, tue ce putain de débile déjà !","- **Sujet du message** : Un appel à mettre fin à la vie d'une personne jugée stupide.
- **Sens probable** : L'auteur exprime une colère ou une frustration intense envers une personne qu'il qualifie de ""débile"".

Le terme ""putain de"" sert d'insulte pour renforcer le mépris, et l'expression ""pour l'amour de Dieu"" traduit une exaspération profonde.","Tons perçus : **Colérique**, **Méprisant**, **Urgent**.

Justification : L'utilisation de termes injurieux et l'expression d'une exaspération intense signalent une frustration élevée. L'urgence est suggérée par l'appel à l'action immédiate. Doute sur la possibilité d'autres tons plus nuancés, mais ceux-ci dominent clairement.","Le message exprime plusieurs intentions principales :

1. **Critiquer** (Certitude élevée) : L’auteur reproche à une personne d'être ""débile"", montrant un jugement sévère et un mépris envers sa capacité intellectuelle.

2. **Exprimer une colère** (Certitude élevée) : L’expression d’une exaspération intense est manifeste, indiquant une frustration profonde et une impatience face à la situation.

3. **Appeler à l'action** (Certitude modérée) : L'invitation à ""tuer"" la personne montre une demande d’action immédiate, bien que cela puisse aussi être interprété comme une hyperbole. 

4. **Choquer** (Certitude modérée) : Le langage violent et l'expression d'un souhait extrême visent à provoquer une réaction forte chez le destinataire ou l'audience. 

Chacune de ces intentions se manifeste par le choix des mots et le ton utilisé, renforçant l'immediacy et la intensité des sentiments.","Catégories : [""Adhésion explicite à une idée toxique""]
Justification : Appel violent expresse à tuer une personne, avec mépris clair et encouragement explicite.","Labels : S0/H0/V2/R0/A3/I3  
Justification : Appel explicite à tuer quelqu’un constitue une incitation à la violence (V2) avec déshumanisation (A3) et intention claire de nuire (I3). Pas de contenu sexuel ni discours haineux ou registre sensible.","Note : 9/10  
Justification : Le message incite clairement à la violence envers une personne, manifeste une déshumanisation et vise à nuire, ce qui en fait un propos gravement menaçant.",Certitude : élevée,Conclusion : 1
9070d8e2e4e2577b,"Yeah, all you have to do is stop being such a bitch.",1,0,1,0,1,0,"Ouais, il te suffit d'arrêter d'être une pétasse.","- **Sujet du message** : Comportement d'une personne.
- **Sens probable** : L'auteur semble suggérer à quelqu'un de cesser un comportement jugé négatif, en utilisant le terme péjoratif ""pétasse"" pour désigner ce comportement.

**Note** : ""Pétasse"" est une insulte désignant une personne perçue comme superficielle ou provocante.","Tons identifiés : Agressif (sans équivoque) et Méprisant (élevé).

Justification : L'utilisation du mot ""pétasse"" indique une intention de rabaisser, ce qui génère un ton agressif et méprisant. L'instruction de cesser un comportement suggère une volonté de contrôle.

Doutes : Un ton sarcastique pourrait être ici envisagé selon le contexte, mais le choix de mots indique principalement une intention sérieuse de dévalorisation.","**Intentions identifiées** :

1. **Rabaisser** (certitude élevée) : L'utilisation du terme ""pétasse"" montre clairement une volonté de dévaloriser l'individu visé par le message. Cela dénote un mépris pour son comportement.

2. **Critiquer** (certitude élevée) : L'auteur exprime une désapprobation claire au sujet du comportement de l'autre personne, indiquant une intention de critiquer son attitude jugée négative ou superficielle.

3. **Donner un conseil (sous-jacent)** (certitude modérée) : L'instruction de ""cesser"" un comportement suggère une volonté de corriger ou d'orienter l'autre vers un changement, bien que cette intention soit masquée par le ton agressif.

4. **Contrôler** (certitude modérée) : L’auteur semble vouloir imposer une norme de comportement à l'autre, montrant un désir de prendre le dessus sur la situation, renforçant l'idée d'un énoncé de pouvoir. 

Ces intentions reflètent l'agressivité et le mépris présents dans le message, tout en laissant une place à une tentative de conseil, bien que celle-ci soit","Catégories : [""Micro-agression""]
Justification : Insulte agressive et méprisante avec connotation stigmatisante subtile et volonté de contrôle.","Labels : S0/H0/V0/R0/A2/I2  
Justification : Le message utilise un terme insultant méprisant sans référence identitaire ou violence. L’agressivité est élevée, avec une intention ambiguë mêlant critique et volonté de rabaissement.","Note : 6/10  
Justification : L'insulte ""pétasse"" dénote une dévalorisation claire avec une intention nuisible, renforçant le mépris et l'agressivité envers l'individu visé.",Certitude : élevée,Conclusion : 1
